"","x"
"1",38.6392524198433
"2",36.0407971915332
"3",36.8947484517764
"4",36.8321122809523
"5",34.793296916153
"6",38.5006016049365
"7",36.9396213327705
"8",36.3088156687346
"9",36.4926929161128
"10",37.3946875375903
"11",39.0454050809622
"12",38.5210641699238
"13",37.7360233423939
"14",36.9058003774814
"15",36.731344589801
"16",36.6648583983372
"17",34.9173899622004
"18",38.0160614551233
"19",35.7974869809391
"20",36.9794307414792
"21",36.8605544871015
"22",38.5098271478338
"23",37.311591763584
"24",38.5051696658586
"25",38.5646877304148
"26",38.0597250432996
"27",36.8404012126549
"28",36.2764097061059
"29",35.4265597453432
"30",37.4455059018549
"31",35.7642675392429
"32",36.1224332906631
"33",37.026162897737
"34",39.55193672281
"35",37.925964108523
"36",38.2763224118814
"37",38.2191492348929
"38",37.8987567719363
"39",37.3296399239921
"40",37.8989163106429
"41",35.9761673083785
"42",39.3669358599645
"43",38.7568469319593
"44",38.1507589512505
"45",38.6545120152978
"46",40.0459174231352
"47",40.1660291120506
"48",37.8781992807948
"49",38.140785269431
"50",36.7159853254404
"51",38.002065427566
"52",38.5402281061155
"53",36.5745707278707
"54",38.335419044898
"55",39.7838581158831
"56",40.3052136840467
"57",39.0181188737699
"58",40.4077901148232
"59",39.6185268645294
"60",39.9098701831418
"61",40.3482873576942
"62",38.0339907100602
"63",39.0093621466577
"64",38.3225142254424
"65",36.1958355021976
"66",39.5061385207736
"67",38.2979446055031
"68",38.022696855815
"69",39.8182370612674
"70",40.5781663195434
"71",40.8940251553447
"72",39.7288133025381
"73",38.951169947346
"74",38.5723720663645
"75",39.7636649180034
"76",38.776678521582
"77",37.4459875572311
"78",41.2747999607514
"79",38.2795725399318
"80",40.7405330702493
"81",38.8145897628454
"82",42.794578925951
"83",41.9646565589188
"84",40.9864614174843
"85",42.2961634987726
"86",40.9087109466675
"87",39.8706140792068
"88",39.6164740951171
"89",36.772442238369
"90",41.944649698675
"91",42.1374189757463
"92",43.1733601451325
"93",41.4463851817149
"94",43.1427061633094
"95",41.8163151472586
"96",42.2508874703865
"97",41.1203831806162
"98",39.8493613600334
"99",39.78056894254
"100",41.338674188135
"101",38.0956952744768
"102",41.7533358344856
"103",38.5381571429322
"104",40.0325037731301
"105",42.0474252207613
"106",43.3642584674304
"107",42.73372651451
"108",43.96979866961
"109",41.7509505425889
"110",38.7842662041051
"111",42.6941878985853
"112",40.6017712819672
"113",37.8038698972388
"114",43.2608489067415
"115",41.9693614952032
"116",42.672526410725
"117",41.9036612419692
"118",44.5644527291898
"119",42.2494256912546
"120",42.6303693537311
"121",42.7673444567436
"122",41.542150677299
"123",41.2995836621974
"124",40.7208749890887
"125",39.3143055458559
"126",42.9563043232524
"127",41.5362384924484
"128",44.1100859551496
"129",42.272270540094
"130",42.3120543532811
"131",44.017045596089
"132",44.3819669407882
"133",43.3242662450758
"134",41.1824054550014
"135",42.8897712733529
"136",40.8816187517613
"137",39.3694410635407
"138",43.5249584471843
"139",41.9791546205478
"140",43.0346802340948
"141",42.4220997906626
"142",44.8981396150169
"143",43.1767525914875
"144",43.4766551392905
"145",41.555641694399
"146",40.9729070381267
"147",43.2584247960511
"148",41.4813515210128
"149",39.7730499910068
"150",42.3037311244936
